City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Torbay,CA,47.67,-52.73,36.0,74,90,12.75,light shower snow
83,Luderitz,NA,-26.65,15.16,66.51,43,42,21.92,scattered clouds
84,Albany,US,42.6,-73.97,44.01,68,0,7.45,clear sky
85,Pocone,BR,-16.26,-56.62,86.43,53,26,5.97,scattered clouds
86,Zhigansk,RU,66.77,123.37,-2.88,92,100,2.55,overcast clouds
87,Saldanha,ZA,-33.01,17.94,59.0,67,0,6.93,clear sky
88,Port Alfred,ZA,-33.59,26.89,63.54,81,65,12.97,broken clouds
89,Hobart,AU,-42.88,147.33,53.6,66,75,1.12,broken clouds
90,Lebu,CL,-37.62,-73.65,59.23,69,0,8.93,clear sky
91,Mount Gambier,AU,-37.83,140.77,42.8,93,75,2.86,broken clouds
92,Abu Dhabi,AE,24.47,54.37,82.4,65,0,8.05,clear sky
93,Kibre Mengist,ET,5.88,38.98,59.59,95,100,1.23,light rain
94,Lagoa,PT,39.05,-27.98,68.76,91,31,23.67,scattered clouds
95,Qaanaaq,GL,77.48,-69.36,9.79,83,89,6.17,overcast clouds
96,Touros,BR,-5.2,-35.46,84.2,70,40,14.99,scattered clouds
97,Arraial Do Cabo,BR,-22.97,-42.03,71.6,88,75,8.05,broken clouds
98,Hilo,US,19.73,-155.09,84.2,54,40,3.36,scattered clouds
99,Elko,US,41.0,-115.5,63.0,18,1,2.62,clear sky
100,Smirnykh,RU,49.75,142.83,32.79,94,100,1.1,snow
101,Anadyr,RU,64.75,177.48,5.0,84,40,4.47,scattered clouds
102,Cherskiy,RU,68.75,161.3,9.23,89,94,3.69,overcast clouds
103,Lipari,IT,38.47,14.95,63.0,84,0,7.0,clear sky
104,Barkhan,PK,29.9,69.53,54.66,34,0,2.44,clear sky
105,Medicine Hat,CA,50.05,-110.67,45.0,41,20,11.41,few clouds
106,Mehriz,IR,31.59,54.43,47.59,52,0,1.36,clear sky
107,Saskylakh,RU,71.92,114.08,-4.86,84,2,6.93,clear sky
108,Kirakira,SB,-10.45,161.92,81.46,77,85,4.47,overcast clouds
109,Pazaric,BA,43.79,18.16,57.2,67,75,3.36,broken clouds
110,Barrow,US,71.29,-156.79,24.8,68,75,10.29,broken clouds
111,Kaitangata,NZ,-46.28,169.85,57.99,54,74,15.01,broken clouds
112,Taiobeiras,BR,-15.81,-42.23,69.96,86,100,1.77,overcast clouds
113,Norman Wells,CA,65.28,-126.83,5.0,77,20,5.82,few clouds
114,Egvekinot,RU,66.32,-179.17,12.69,82,0,5.12,clear sky
115,Palmerston,AU,-12.49,130.98,78.8,88,50,3.36,scattered clouds
116,Santa Rosa,PH,14.31,121.11,80.6,74,75,4.7,broken clouds
117,Russellville,US,35.28,-93.13,64.4,48,1,4.7,clear sky
118,Coihaique,CL,-45.58,-72.07,77.0,29,0,6.93,clear sky
119,Mlonggo,ID,-6.53,110.7,76.73,89,94,5.19,light rain
120,Birjand,IR,32.87,59.22,41.0,6,0,6.93,clear sky
121,Dunedin,NZ,-45.87,170.5,55.0,67,21,5.01,few clouds
122,Pitimbu,BR,-7.47,-34.81,82.4,74,40,11.41,scattered clouds
123,Chokurdakh,RU,70.63,147.92,-4.67,92,98,7.9,overcast clouds
124,Biloxi,US,30.4,-88.89,71.6,56,1,1.25,clear sky
125,Chemal,RU,51.41,86.0,29.61,90,95,3.65,overcast clouds
126,Yulara,AU,-25.24,130.99,66.2,26,0,5.82,clear sky
127,Santa Marta,CO,11.24,-74.2,86.0,78,78,1.01,light rain
128,Batagay,RU,67.63,134.63,-9.4,89,93,3.09,overcast clouds
129,Alofi,NU,-19.06,-169.92,75.2,94,52,13.87,light rain
130,Provideniya,RU,64.38,-173.3,21.04,88,84,6.55,broken clouds
131,Kharp,RU,66.8,65.81,32.99,95,63,10.65,broken clouds
132,Baculin,PH,7.45,126.58,79.09,73,100,4.76,overcast clouds
133,Careiro Da Varzea,BR,-3.2,-59.81,91.4,59,40,4.7,scattered clouds
134,Oxbow,CA,49.23,-102.17,30.99,61,93,20.0,overcast clouds
135,Northam,GB,51.03,-4.22,51.01,83,100,10.0,light rain
136,Pirogovo,RU,56.78,53.15,37.0,95,100,1.01,light rain
137,Taltal,CL,-25.4,-70.48,64.9,53,76,7.85,broken clouds
138,Tautira,PF,-17.73,-149.15,84.2,66,20,6.93,few clouds
139,Harper,LR,4.38,-7.72,78.06,87,100,6.49,overcast clouds
140,Mar Del Plata,AR,-38.0,-57.56,66.2,55,0,13.87,clear sky
141,Chuy,UY,-33.7,-53.46,62.82,64,11,8.7,few clouds
142,Katobu,ID,-4.94,122.53,75.97,87,99,1.79,overcast clouds
143,Alto Piquiri,BR,-24.03,-53.44,77.81,53,69,1.97,broken clouds
144,Sisimiut,GL,66.94,-53.67,21.15,95,100,8.12,overcast clouds
145,Zabol,AF,32.25,67.25,41.04,53,0,6.93,clear sky
146,Port Blair,IN,11.67,92.75,79.97,80,12,5.97,few clouds
147,Upernavik,GL,72.79,-56.15,15.76,96,88,13.82,overcast clouds
148,Mogocha,RU,53.73,119.77,21.0,89,100,7.99,overcast clouds
149,Gornopravdinsk,RU,60.05,69.9,34.66,96,100,7.63,overcast clouds
150,Nerchinskiy Zavod,RU,51.31,119.61,21.65,97,100,7.67,light snow
151,Esperance,AU,-33.87,121.9,64.4,42,100,6.93,overcast clouds
152,Grand Gaube,MU,-20.01,57.66,64.99,77,11,1.99,few clouds
153,Kruisfontein,ZA,-34.0,24.73,62.01,82,85,6.76,overcast clouds
154,Bardiyah,LY,31.76,25.09,69.12,62,8,5.19,clear sky
155,Tres Arroyos,AR,-38.37,-60.28,73.92,31,0,7.52,clear sky
156,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,79.27,79,97,9.37,overcast clouds
157,Lata,PT,40.16,-8.33,64.99,87,66,0.67,broken clouds
158,Meulaboh,ID,4.14,96.13,78.06,83,100,3.67,light rain
159,Yenagoa,NG,4.92,6.26,76.66,92,53,4.27,broken clouds
160,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,39.2,64,40,13.42,scattered clouds
161,Mount Pleasant,US,32.79,-79.86,69.01,77,90,16.11,haze
162,Pacific Grove,US,36.62,-121.92,75.2,31,20,6.93,few clouds
163,Kambove,CD,-10.88,26.6,68.04,42,4,3.53,clear sky
164,Port Lincoln,AU,-34.73,135.87,53.94,86,2,11.88,clear sky
165,Ahipara,NZ,-35.17,173.17,64.92,89,28,3.24,scattered clouds
166,Tiksi,RU,71.69,128.87,3.02,93,96,4.68,overcast clouds
167,Dingle,PH,11.0,122.67,75.74,83,100,4.14,overcast clouds
168,Geraldton,AU,-28.77,114.6,68.0,68,75,14.99,broken clouds
169,Muzhi,RU,65.37,64.67,30.22,95,3,12.55,clear sky
170,Shizuishan,CN,39.23,106.77,42.19,53,0,9.66,clear sky
171,Labuhan,ID,-6.88,112.21,75.0,92,100,7.99,light rain
172,Senador Jose Porfirio,BR,-2.59,-51.95,93.87,38,0,4.68,clear sky
173,Ribeira Grande,PT,38.52,-28.7,69.8,94,75,18.34,broken clouds
174,Lexington Park,US,38.27,-76.45,52.0,50,75,6.93,broken clouds
175,Te Anau,NZ,-45.42,167.72,51.49,67,73,8.14,broken clouds
176,Fairbanks,US,64.84,-147.72,8.01,84,90,2.13,light snow
177,Karratha,AU,-20.74,116.85,69.04,81,0,11.18,clear sky
178,Sobolevo,RU,54.43,31.9,45.41,83,100,10.87,overcast clouds
179,Yantal,RU,56.85,105.25,17.98,93,100,6.69,overcast clouds
180,Kununurra,AU,-15.77,128.73,77.0,88,40,6.08,scattered clouds
181,Walvis Bay,NA,-22.96,14.51,57.2,76,0,4.7,clear sky
182,Hay River,CA,60.82,-115.8,26.6,73,40,5.82,scattered clouds
183,Tahta,EG,26.77,31.5,75.2,64,0,13.87,clear sky
184,Sinnamary,GF,5.38,-52.95,84.22,71,100,11.86,overcast clouds
185,Empalme,MX,27.97,-110.82,89.6,33,90,6.31,overcast clouds
186,Trairi,BR,-3.28,-39.27,81.46,75,99,12.44,overcast clouds
187,Makakilo City,US,21.35,-158.09,80.6,74,20,4.83,few clouds
188,Vostok,RU,46.49,135.88,34.48,96,100,5.06,overcast clouds
189,Ancud,CL,-41.87,-73.82,70.0,55,0,9.17,clear sky
190,Oga,IT,46.46,10.35,50.0,86,0,2.24,clear sky
191,Codrington,AU,-38.27,141.97,46.44,91,20,3.2,few clouds
192,Lompoc,US,34.64,-120.46,77.0,37,1,6.2,clear sky
193,Leningradskiy,RU,69.38,178.42,17.89,91,68,10.13,broken clouds
194,Bourg-En-Bresse,FR,46.17,5.17,51.01,94,90,3.49,overcast clouds
195,Tommot,RU,58.96,126.29,-4.07,89,94,2.17,overcast clouds
196,Barceloneta,PR,18.45,-66.54,84.99,76,100,8.01,overcast clouds
197,Cabo San Lucas,MX,22.89,-109.91,86.0,61,40,11.41,scattered clouds
198,Vao,NC,-22.67,167.48,73.31,81,10,14.76,clear sky
199,San Carlos De Bariloche,AR,-41.15,-71.31,80.6,10,0,4.7,clear sky
200,Puerto Quijarro,BO,-17.78,-57.77,90.63,36,73,5.35,broken clouds
201,Havre-Saint-Pierre,CA,50.23,-63.6,30.2,63,1,21.92,clear sky
202,Witu,KE,-2.39,40.44,78.8,88,40,4.7,scattered clouds
203,Berzence,HU,46.21,17.15,51.8,93,0,2.71,clear sky
204,Turukhansk,RU,65.82,87.98,17.44,97,100,21.23,snow
205,Saint George,US,37.1,-113.58,72.0,17,1,3.36,clear sky
206,Hithadhoo,MV,-0.6,73.08,83.61,70,100,7.9,light rain
207,La Ronge,CA,55.1,-105.28,23.0,67,66,4.7,broken clouds
208,Acapulco,MX,16.86,-99.89,87.8,66,40,6.93,scattered clouds
209,Mayumba,GA,-3.43,10.66,78.31,88,92,7.61,overcast clouds
210,Buraydah,SA,26.33,43.98,69.8,28,0,2.24,clear sky
211,Khatanga,RU,71.97,102.5,-6.93,87,9,8.19,clear sky
212,Kavaratti,IN,10.57,72.64,82.06,70,2,2.3,clear sky
213,Borogontsy,RU,62.67,131.17,-13.5,89,72,2.44,broken clouds
214,Punta Alta,AR,-38.88,-62.07,74.84,26,0,10.96,clear sky
215,Clarence Town,AU,-32.58,151.78,60.01,87,1,6.93,clear sky
216,Kalmunai,LK,7.42,81.82,79.59,82,98,3.96,heavy intensity rain
217,Garissa,KE,-0.45,39.64,79.2,69,0,17.9,clear sky
218,Jiuquan,CN,39.74,98.52,32.54,74,25,1.97,scattered clouds
219,Narsaq,GL,60.92,-46.05,23.0,73,40,1.07,scattered clouds
220,Vardo,NO,70.37,31.11,36.0,85,100,12.37,overcast clouds
221,Beibei,CN,29.83,106.43,60.01,100,90,6.71,light rain
222,Jacareacanga,BR,-6.22,-57.75,96.01,36,1,4.07,clear sky
223,Kimbe,PG,-5.55,150.14,75.65,86,1,3.69,clear sky
224,Bafoulabe,ML,13.81,-10.83,85.87,23,100,3.76,overcast clouds
225,Hirado,JP,33.36,129.55,65.08,65,1,12.5,clear sky
226,Collie,AU,-33.37,116.15,60.01,77,100,3.11,light rain
227,Ust-Nera,RU,64.57,143.2,-5.01,81,100,3.15,overcast clouds
228,Clyde River,CA,70.47,-68.59,14.0,92,90,13.87,light snow
229,Dali,CN,25.7,100.18,57.51,87,45,4.72,scattered clouds
230,Maningrida,AU,-12.07,134.27,77.23,81,34,5.59,scattered clouds
231,Husavik,IS,66.04,-17.34,37.4,74,0,8.05,clear sky
232,Port Victoria,KE,0.09,33.98,72.27,74,100,8.55,light rain
233,Dukat,RU,62.55,155.55,13.1,96,100,5.79,overcast clouds
234,Gao,ML,16.64,1.64,83.71,14,0,13.11,clear sky
235,Stephenville,US,32.22,-98.2,75.2,23,1,6.93,clear sky
236,Buchanan,LR,5.88,-10.05,78.55,88,100,8.21,overcast clouds
237,Korla,CN,41.76,86.15,38.39,67,0,1.92,clear sky
238,Hoi An,VN,15.88,108.33,77.0,94,40,3.36,scattered clouds
239,Tacuarembo,UY,-31.73,-55.98,67.24,65,3,12.01,clear sky
240,Emba,KZ,48.83,58.14,46.58,48,100,11.3,overcast clouds
241,Kavieng,PG,-2.57,150.8,83.01,76,5,11.14,light rain
242,Askim,NO,59.58,11.16,45.0,97,76,5.79,broken clouds
243,Georgetown,MY,5.41,100.34,75.2,94,20,7.23,few clouds
244,Minab,IR,27.15,57.08,69.8,73,0,4.7,clear sky
245,Yerbogachen,RU,61.28,108.01,1.13,92,0,2.89,clear sky
246,Vila Velha,BR,-20.33,-40.29,71.6,94,90,8.05,light rain
247,Burnie,AU,-41.07,145.92,53.01,70,0,5.01,clear sky
