City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Georgetown,MY,75.2,few clouds,5.41,100.34,Cititel Penang
252,Santiago,CL,84.99,clear sky,-33.46,-70.65,Hotel Panamericano
253,Venice,US,84.2,overcast clouds,27.1,-82.45,A Beach Retreat On Casey Key
260,Pozo Colorado,PY,85.32,clear sky,-23.49,-58.8,Hospedaje la Amistad
261,Samarai,PG,80.71,moderate rain,-10.62,150.67,Nuli Sapi
262,Umm Kaddadah,SD,86.34,clear sky,13.6,26.69,
267,San Patricio,US,79.0,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
268,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
272,San Angelo,US,78.01,clear sky,31.46,-100.44,"Motel 6 San Angelo, TX"
273,Ribas Do Rio Pardo,BR,83.44,broken clouds,-20.44,-53.76,Ataíde Martins
275,Colomi,BO,80.6,few clouds,-17.35,-65.87,Residencial EL TURISMO
278,Sola,VU,81.3,broken clouds,-13.88,167.55,Ulkel Guest House
286,Adrar,MR,85.62,overcast clouds,20.5,-10.07,
289,Maraa,BR,79.02,moderate rain,-1.83,-65.37,
298,Thinadhoo,MV,82.51,moderate rain,0.53,72.93,
300,Baghdad,IQ,75.2,clear sky,33.34,44.4,Baghdad Hotel
303,Lufilufi,WS,77.0,drizzle,-13.87,-171.6,Leuaina Beach Resort and Spa
313,Ugoofaaru,MV,82.58,scattered clouds,5.67,73.0,Ungoofaaru Inn
314,Tuburan,PH,80.71,light rain,6.64,122.27,Bohe Puno
317,Kudahuvadhoo,MV,82.87,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
323,Omboue,GA,77.18,overcast clouds,-1.57,9.26,Hotel Olako
326,Malakal,SS,77.94,scattered clouds,9.53,31.66,Nile Palace Hotel
328,Bathsheba,BB,80.6,broken clouds,13.22,-59.52,Atlantis Hotel
329,Bahia Blanca,AR,80.28,clear sky,-38.72,-62.27,Hotel Argos
330,Benguela,AO,78.89,overcast clouds,-12.58,13.41,Hotel Praia Morena
336,Aitape,PG,77.85,clear sky,-3.14,142.35,
340,Sabana De Torres,CO,78.8,scattered clouds,7.39,-73.5,Hotel el Milagro
342,Marsh Harbour,BS,79.99,light rain,26.54,-77.06,Abaco Beach Resort
347,Acari,PE,76.5,scattered clouds,-15.43,-74.62,Hospedaje Ximens
350,Tabou,CI,78.33,overcast clouds,4.42,-7.35,hotêl doufoulougou
353,Miri,MY,75.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
354,Tual,ID,83.16,light rain,-5.67,132.75,Grand Vilia Hotel
355,Tanout,NE,80.49,clear sky,14.97,8.89,
356,Fort Wellington,GY,85.51,clear sky,6.4,-57.6,TE'AMO Entertainment Park
358,Takoradi,GH,78.96,scattered clouds,4.88,-1.76,Raybow International Hotel
364,Alexandria,EG,75.2,scattered clouds,31.22,29.96,Royal Crown Hotel
376,Dunmore Town,BS,81.43,clear sky,25.5,-76.65,Coral Sands Hotel
377,Bontang,ID,77.22,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
385,Kandrian,PG,77.05,broken clouds,-6.22,149.55,Kandrian Station
393,Piacabucu,BR,79.56,scattered clouds,-10.41,-36.43,Piaçabuçu News
395,Mandera,KE,84.97,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
396,Reyes,BO,89.6,clear sky,-14.32,-67.38,
397,Tambacounda,SN,84.2,clear sky,13.75,-13.76,
403,Bosaso,SO,78.13,clear sky,11.28,49.18,Red Sea Hotel
406,Winneba,GH,80.6,few clouds,5.35,-0.62,Windy Lodge & Beach Resort
408,Anahuac,MX,75.2,clear sky,27.23,-100.15,Rancho Guadalupe
410,Coahuayana,MX,84.2,scattered clouds,18.73,-103.68,Hotel Los Arcos
414,Axim,GH,78.84,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
415,Bambanglipuro,ID,75.22,scattered clouds,-7.95,110.28,Puri Brata
417,Hambantota,LK,79.29,overcast clouds,6.12,81.12,Bungalow 63
421,General Roca,AR,86.0,clear sky,-39.03,-67.58,Hotel El Recreo
424,Diamantino,BR,86.86,overcast clouds,-14.41,-56.45,Hotel Delta
425,Labuan,MY,78.8,moderate rain,5.28,115.24,Tiara Labuan Hotel
429,Namibe,AO,75.29,light rain,-15.2,12.15,Hotel Chik Chik Namibe
432,Ler,SS,75.6,clear sky,8.3,30.14,
435,Nortelandia,BR,88.09,overcast clouds,-14.45,-56.8,Hotel Karysmã
437,Champerico,GT,89.6,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
439,Iracoubo,GF,84.02,heavy intensity rain,5.48,-53.2,Le Gite D Iracoubo
443,Ukiah,US,77.0,clear sky,39.15,-123.21,Hampton Inn Ukiah
449,Bandarbeyla,SO,77.95,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
451,Pombas,CV,77.0,broken clouds,17.15,-25.02,POUSADA O RECANTO
453,Tshane,BW,77.34,light rain,-24.02,21.87,
455,Vetapalem,IN,75.56,clear sky,15.78,80.32,G.S Lodge
459,Dubai,AE,78.8,clear sky,25.26,55.3,"Radisson Blu Hotel, Dubai Deira Creek"
460,Namatanai,PG,80.62,broken clouds,-3.67,152.43,Namatanai Hotel
461,Cayenne,GF,84.2,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
463,Mineros,BO,89.6,clear sky,-17.12,-63.23,Residencial Imperial
475,Potiskum,NG,81.32,clear sky,11.71,11.07,Tamir Hotel Ltd
478,Santa Cruz De La Palma,ES,77.0,clear sky,28.68,-17.76,H10 Taburiente Playa
480,Amahai,ID,82.0,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
484,San Quintin,MX,76.28,broken clouds,30.48,-115.95,Old Mill Hotel
486,Maymyo,MM,75.2,broken clouds,22.03,96.47,Tiger Hotel
487,Dwarka,IN,81.9,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
493,Nabire,ID,76.15,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
495,Townsville,AU,75.0,few clouds,-19.25,146.8,Rydges Southbank Townsville
499,Itarema,BR,81.81,overcast clouds,-2.92,-39.92,Windvillage
501,Bom Jesus,BR,84.65,light rain,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
506,Cabedelo,BR,82.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
508,Sorong,ID,80.67,overcast clouds,-0.88,131.25,The Waigo Hotel
514,Mozarlandia,BR,75.56,overcast clouds,-14.74,-50.57,Hotel Santa Mônica
518,Basco,PH,78.21,overcast clouds,20.45,121.97,Nathaniel's Lodge
522,Moron,AR,75.0,clear sky,-34.65,-58.62,Hotel Morón
525,Calamar,CO,82.4,shower rain,10.25,-74.91,Hostal Katyalex
529,Lindi,TZ,75.2,scattered clouds,-10.0,39.72,Lindi paradise house
530,Jeremie,HT,84.7,light rain,18.65,-74.12,Auberge’Inn
531,Bulihan,PH,80.6,light rain,14.27,121.0,Deluxe Room with Poolside
537,Batticaloa,LK,80.11,light rain,7.71,81.69,Grand Star Guest House
542,Sabang,ID,82.15,light rain,5.89,95.32,Hotel Citra
543,Nicoya,CR,86.0,scattered clouds,10.15,-85.45,Guayacan Real
544,The Valley,AI,86.0,haze,18.22,-63.06,CeBlue Villas & Beach Resort
545,Lazaro Cardenas,MX,85.77,broken clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
549,Fuerte Olimpo,PY,88.9,few clouds,-21.04,-57.87,Hotel Fuerte Olimpo
550,Arona,ES,84.2,clear sky,28.1,-16.68,Paradise Court
557,Santa Helena De Goias,BR,84.24,light rain,-17.81,-50.6,Hotel Pacheco
558,Sao Filipe,CV,80.51,broken clouds,14.9,-24.5,Tortuga B&B
559,Trincomalee,LK,80.29,moderate rain,8.57,81.23,Welcombe Hotel
563,Numan,NG,83.62,few clouds,9.47,12.03,Zangun Motel
564,Abapo,BO,84.49,scattered clouds,-18.83,-63.47,
567,Praia,CV,77.0,broken clouds,14.92,-23.51,LT Aparthotel
571,Kano,NG,75.2,haze,12.0,8.52,La Sultana Hotel
573,Caucaia,BR,84.2,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
585,Hervey Bay,AU,77.0,clear sky,-25.3,152.85,Shelly Bay Resort
588,Shirgaon,IN,78.96,clear sky,19.7,72.7,LAXMI GARDEN BEACH RESORT
590,Carutapera,BR,82.92,scattered clouds,-1.2,-46.02,Lidera
593,Santa Isabel Do Rio Negro,BR,89.56,light rain,-0.41,-65.02,Hotel GSA
594,Panama City,PA,86.0,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
605,Tecoanapa,MX,85.1,clear sky,16.52,-98.75,Hotel Manglares
606,Trelew,AR,82.29,clear sky,-43.25,-65.31,Hotel Touring Club
621,Doka,SD,79.41,scattered clouds,13.52,35.77,
623,Healdsburg,US,78.01,clear sky,38.61,-122.87,Best Western Dry Creek Inn
625,Tessalit,ML,80.53,few clouds,20.2,1.01,
626,Papara,BR,84.2,few clouds,-3.98,-38.73,Bela vista Maranguape
628,Loandjili,CG,78.8,broken clouds,-4.76,11.86,Résidence ARCHANGE
632,Formosa,AR,84.2,clear sky,-26.18,-58.18,Asterión Hotel
637,Saint-Georges,GD,80.6,broken clouds,12.06,-61.75,Siesta Hotel
638,Kieta,PG,79.92,light rain,-6.22,155.63,
641,Sassandra,CI,77.97,overcast clouds,4.95,-6.08,la terrasse
642,Bauchi,NG,79.02,clear sky,10.5,10.0,
651,Catuday,PH,77.9,broken clouds,16.29,119.81,GResort
654,Crestview,US,77.0,few clouds,30.76,-86.57,Holiday Inn Express & Suites Crestview South I-10
655,San Lorenzo,PY,86.0,scattered clouds,-25.33,-57.53,Ámbar Hotel
657,Rafaela,AR,79.0,clear sky,-31.25,-61.49,Parra Hotel & Suites
662,Santa Cruz,BO,89.6,clear sky,-17.8,-63.17,Hotel Cortez
664,Sosua,DO,77.0,broken clouds,19.77,-70.52,Piergiorgio Palace Hotel
667,Howard Springs,AU,78.8,broken clouds,-12.5,131.05,buffalo beach hostel
669,Boma,GH,76.32,clear sky,7.08,-2.17,Obaatanpa Hotel
676,Kulhudhuffushi,MV,82.51,few clouds,6.62,73.07,Haajy Guest House 1
681,Doha,QA,80.6,clear sky,25.29,51.53,Doha Marriott Hotel
682,Poya,NC,76.59,clear sky,-21.35,165.15,
